Event,Latitude,Longitude,Cal age [ka BP],"Cal age std e [±] (calculated, 1 sigma)","Age dated [ka] (planktic, Age, 14C AMS)","Age std e [±] (planktic, calculated, 1 sigma)","Age dated [ka] (Coeval atmospheric 14C age, A...)"
RNDB-PC13,49.725,168.312,14918.0,142.0,13660.0,90.0,12518.0
RNDB-PC13,49.725,168.312,17793.0,79.0,15900.0,60.0,14509.0
RNDB-PC13,49.725,168.312,19555.0,140.0,17500.0,110.0,16222.000000000002
VINO19-4-GGC17,53.707,165.013,13661.5,41.0,12860.0,35.0,11835.0
VINO19-4GGC-37,50.42,167.732,13691.0,138.0,12880.0,115.0,11836.0
VINO19-4GGC-37,50.42,167.732,13722.0,118.0,12910.0,95.0,11801.0
MD97-2106,-45.15,146.28,8800.0,200.0,8486.0,45.0,7985.0
MD97-2106,-45.15,146.28,14980.64516,200.0,13009.0,60.0,12576.0
MD97-2106,-45.15,146.28,18358.62069,200.0,16079.0,70.0,15229.0
EW0408-87JC,59.55533333,-144.1535,594.0,74.0,1650.0,90.0,607.0
EW0408-87JC,59.55533333,-144.1535,1254.0,76.0,2340.0,70.0,1279.0
EW0408-87JC,59.55533333,-144.1535,1702.0,83.0,2730.0,70.0,1780.0
EW0408-87JC,59.55533333,-144.1535,2699.5,78.0,3560.0,60.0,2494.5
EW0408-87JC,59.55533333,-144.1535,3233.0,87.0,4000.0,80.0,3042.0
EW0408-87JC,59.55533333,-144.1535,3651.0,80.0,4330.0,60.0,3438.0
EW0408-87JC,59.55533333,-144.1535,4499.0,121.0,4990.0,90.0,3994.0
EW0408-87JC,59.55533333,-144.1535,5162.0,89.0,5500.0,70.0,4513.200000000001
EW0408-87JC,59.55533333,-144.1535,6170.0,40.0,6410.0,25.0,5302.0
EW0408-87JC,59.55533333,-144.1535,7773.0,34.0,7980.0,25.0,6938.4
EW0408-87JC,59.55533333,-144.1535,8428.5,84.0,8610.0,80.0,7684.700000000001
EW0408-87JC,59.55533333,-144.1535,8986.0,144.0,9020.0,120.0,8001.599999999999
EW0408-87JC,59.55533333,-144.1535,9736.0,94.0,9660.0,70.0,8771.2
EW0408-87JC,59.55533333,-144.1535,10151.5,35.0,9930.0,30.0,8913.6
EW0408-87JC,59.55533333,-144.1535,10546.0,35.0,10260.0,25.0,9314.0
EW0408-87JC,59.55533333,-144.1535,10819.0,84.0,10410.0,100.0,9593.199999999999
EW0408-87JC,59.55533333,-144.1535,11084.0,40.0,10600.0,35.0,9625.400000000001
EW0408-87JC,59.55533333,-144.1535,11350.0,48.0,10855.0,30.0,9975.0
EW0408-87JC,59.55533333,-144.1535,11708.0,40.0,11065.0,25.0,10091.0
EW0408-87JC,59.55533333,-144.1535,11992.0,44.0,11250.0,25.0,10291.0
EW0408-87JC,59.55533333,-144.1535,12436.0,51.0,11520.0,25.0,10372.0
EW0408-87JC,59.55533333,-144.1535,13526.0,43.0,12705.0,25.0,11740.0
EW0408-87JC,59.55533333,-144.1535,13722.0,55.0,12810.0,60.0,11801.0
EW0408-87JC,59.55533333,-144.1535,14019.5,35.0,13080.0,30.0,12064.0
EW0408-87JC,59.55533333,-144.1535,14191.0,58.0,13170.0,60.0,12296.0
EW0408-87JC,59.55533333,-144.1535,14393.0,70.0,13310.0,80.0,12396.0
EW0408-87JC,59.55533333,-144.1535,14593.0,61.0,13430.0,45.0,12464.0
EW0408-87JC,59.55533333,-144.1535,14747.0,48.0,13420.0,30.0,12368.0
EW0408-87JC,59.55533333,-144.1535,15219.0,49.0,13830.0,35.0,12757.0
EW0408-87JC,59.55533333,-144.1535,15901.0,44.0,14345.0,30.0,13243.0
EW0408-87JC,59.55533333,-144.1535,16276.0,41.0,14645.0,35.0,13495.0
EW0408-87JC,59.55533333,-144.1535,16486.5,49.0,14870.0,50.0,13644.0
EW0408-87JC,59.55533333,-144.1535,16586.0,44.0,14890.0,60.0,13715.0
EW0408-87JC,59.55533333,-144.1535,16672.0,42.0,15040.0,80.0,13775.0
EW0408-87JC,59.55533333,-144.1535,16747.0,43.0,14860.0,80.0,13810.0
EW0408-87JC,59.55533333,-144.1535,16843.0,37.0,15080.0,40.0,13842.0
EW0408-87JC,59.55533333,-144.1535,16916.0,36.0,15110.0,60.0,13877.0
EW0408-87JC,59.55533333,-144.1535,16999.0,48.0,15160.0,35.0,13946.0
202-1240,0.021833333,-86.46266667,11760.0,200.0,10364.0,150.0,10140.0
202-1240,0.021833333,-86.46266667,15000.0,200.0,12701.0,150.0,12595.0
202-1240,0.021833333,-86.46266667,17600.0,200.0,15676.0,150.0,14465.0
202-1240,0.021833333,-86.46266667,23500.0,200.0,20705.0,150.0,19564.0
202-1240,0.021833333,-86.46266667,2730.0,200.0,3243.0,27.0,2573.0
202-1240,0.021833333,-86.46266667,3756.5,200.0,4136.0,27.0,3485.5
202-1240,0.021833333,-86.46266667,8261.5,200.0,8045.999999999999,37.0,7436.4
202-1240,0.021833333,-86.46266667,9567.0,200.0,8937.5,62.241465000000005,8699.6
202-1240,0.021833333,-86.46266667,10445.375,200.0,9388.0,63.655322,9283.0
202-1240,0.021833333,-86.46266667,12852.0,200.0,11215.0,55.0,10989.0
202-1240,0.021833333,-86.46266667,13572.0,200.0,11964.0,55.0,11670.0
202-1240,0.021833333,-86.46266667,14494.25,200.0,12492.0,58.0,12419.0
202-1240,0.021833333,-86.46266667,16451.5,200.0,14273.0,67.0,13628.0
