id,cal_age,cal_sigma,rad_res,rad_res_sd,mid1,mid2,wmn,med,mode,mid1_resage,mid2_resage,wmn_resage,med_resage,mode_resage,Latitude,Longitude,group
94-609,15393,384,14990,230,12882,12849,12885,12897,12907,2098,2066,2209,2099,2099,49.88,-24.23,Northeast Atlantic
MD04-2829CQ,15400,200,14468,150,12882,12988,13123,12896,12907,1582,1566,1437,1576,1573,58.9,-9.6,Northeast Atlantic
MD04-2845,15533,316,14450,110,12520,13136,13800,12971,12915,1469,1365,1254,1466,1491,45.35,-5.22,Northeast Atlantic
RAPiD-17-5P,15555,301,14100,55,13003,13131,13752,12987,12915,1103,996,792,1107,1165,61.48,-19.54,Northeast Atlantic
NA87-22,15598,444,15660,120,13022,13092,14348,13028,12916,2636,2651,2334,2624,2671,55.5,-14.7,Northeast Atlantic
MD95-2002,15603,350,14830,70,12519,13105,13314,13027,12918,1808,1722,1841,1799,1878,47.45,-8.53,Northeast Atlantic
MD95-2002,15778,391,14810,200,13152,13167,13355,13169,13237,1650,1590,1832,1647,1644,47.45,-8.53,Northeast Atlantic
RAPiD-10-1P,15850,500,14950,49,12502,13288,14006,13225,13241,1752,1676,1424,1725,1697,62.98,-17.59,Northeast Atlantic
MD99-2331,15905,565,14130,120,13172,13262,14140,13263,13386,916,878,980,866,833,42.15,-9.68,Northeast Atlantic
DAPC2,16005,200,14400,110,13320,13313,13236,13316,13378,1086,1082,992,1084,1082,58.97,-9.61,Northeast Atlantic
RAPiD-17-5P,16039,301,15087,50,13318,13456,13935,13343,13387,1756,1662,1275,1744,1721,61.48,-19.54,Northeast Atlantic
MD99-2331,16040,601,13920,90,12498,13421,14708,13359,13389,608,522,421,561,572,42.15,-9.68,Northeast Atlantic
MD01-2461,16111,526,15118,64,13315,13536,14155,13397,13391,1004,1598,1463,1717,1741,51.75,-12.92,Northeast Atlantic
DAPC2,16148,200,14900,110,13420,13446,13793,13407,13396,1483,1478,1488,1487,1495,58.97,-9.61,Northeast Atlantic
94-609,16149,577,16360,240,13320,13537,14817,13423,13393,2943,2828,3058,2928,2912,49.88,-24.23,Northeast Atlantic
