id,Calendar_age,Calendar_age_error,Reservoir_Min_Range_at_95.0%,Reservoir_Max_Range_at_95.0%,Mode,MidRange,Median
SHAK10-10K,15947,200,-429.0,1401.0,1050.0,486.0,1053.0
SHAK14-4G,15947,200,-559.0,1271.0,920.0,356.0,923.0
SHAK03-6K,15947,200,-587.0,1243.0,892.0,328.0,895.0
SHAK05-3K,15947,200,-759.0,1071.0,720.0,156.0,723.0
MD99-2334,17420,200,-953.0,1143.0,723.0,95.0,759.0
SHAK10-10K,17420,200,-979.0,1117.0,697.0,69.0,733.0
SHAK14-4G,17420,200,-912.0,1184.0,764.0,136.0,800.0
SHAK03-6K,17420,200,-1462.0,634.0,214.0,-414.0,250.0
MD99-2334,20262,200,-672.0,1366.0,1025.0,347.0,1007.0
SHAK10-10K,20262,200,-627.0,1411.0,1070.0,392.0,1052.0
SHAK14-4G,20262,200,-923.0,1115.0,774.0,96.0,756.0
SHAK03-6K,20262,200,-1033.0,1005.0,664.0,-14.0,646.0
SHAK05-3K,20262,200,-650.0,1388.0,1047.0,369.0,1029.0
